breed,synonym,Parker2017,Garamszegi2020,activityCareau2010,aggressivenessCareau2010,trainabilityCareau2010,w1AKC,w2AKC,w1Bell,w2Bell,w1malesAKC,w2malesAKC,w1malesBell,w2malesBell,w1femalesAKC,w2femalesAKC,w1femalesBell,w2femalesBell,wAKC,wAKCmales,wAKCfemales,wBell2012,wBellmales,wBellfemales,wFan2016,wFan2016males,wFan2016females,wSpeakman2003,wKraus2013,wGerstner2010,wHawthorne2004,wCareau2010,wJimenez2020,weightcompendia,weightpapers,weight,l1AKC,l2AKC,l1Bell,l2Bell,lAKC,lBell,lMichell1999,lProschowsky2003,,lONeill2013,lLeroy2015b,lifespan,mortalityrateCareau2010,lsClark2017,lsBell2012,lsLeroy2015,lsOkkens1993,lsSchrack2017,lsGroppetti2015,lsBorge2011,lsNielen2000,lsOgrak2009,lsWildt1982,lsYilmaz2007,lsGroppetti2017,lsMila2015,lsThomassen2006,lsGoleman2015,lsGubbels2008,lswebsite1,lswebsite2,lscompendia,lspapers,littersize,malesperlitterGubbels2008,femalesperlitterGubbels2008,bwClark2017,bwFan2016,bwYlmaz2007,bwGroppetti2017,bwGroppetti2015,bwFan2016males,bwFan2016females,bwcompendia,bwpapers,bwpaperskg,bw,bwkg,bwkgxls,grHawthorne2004,grPosadas2014,expgr,T99Hawthorne2004,T99Posadas2014,T99,growth,n,OScardiovascular,OSdermatologic,OSendocrine,OSgastrointestinal,OShematopoietic,OShepatic,OSmusculoskeletal,OSneurologic,OSophthalmologic,OSrespiratory,OSurogenital,OSunclear,PPcongenital,PPdegenenerative,PPinfectious,PPinflammatory,PPmetabolic,PPneoplastic,PPtoxic,PPtraumatic,PPvascular,PPunclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wire Haired Pointing Griffon,Wire Haired Pointing Griffon,WHPG,NA,,,,,,,,22.68,31.751,23,27,15.876,22.68,16,23,23.247,27.216,19.278,22.25,25,19.5,,,,,,,,,20.88,22.748,,22.748,12,15,10,13,13.5,11.5,,,,,,12.5,,,,,,,,,,,,,,,,,,7.5,8,,,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xigou,Xigou,XIGO,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xoloitzcuintle minature,Xoloitzcuintle minature,MXOL,NA,,,,6.804,13.608,6,10,,,,,,,,,10.206,,,8,,,,,,,,,,,,9.103,,9.103,13,18,12,15,15.5,13.5,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xoloitzcuintle standard,Xoloitzcuintle standard,XOLO,NA,,,,13.608,24.948,9,14,,,,,,,,,19.278,,,11.5,,,,,,,,,,,,15.389,,15.389,13,18,12,15,15.5,13.5,,,,,,14.5,,,,,,,,4.3,,,,,,,,,,,,,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xoloitzcuintle toy,Xoloitzcuintle toy,NA,NA,,,,4.536,6.804,4,8,,,,,,,,,5.67,,,6,,,,,,,,,,,,5.835,,5.835,13,18,12,15,15.5,13.5,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yakutian Laika,Yakutian Laika,NA,NA,,,,18.144,24.948,,,,,,,,,,,21.546,,,,,,,,,,,,,,,21.546,,21.546,10,12,,,11,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavian Shepherd Dog,Sarplaninac,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Elkhound Grey,Norwegian Elkhound Grey,NELK,NELK,85,91,101,,,,,,,25,,,,22,,,,,23.5,25,22,,,,,23,,,19.5,,23.5,21.25,22.375,12,15,12,13,13.5,12.5,,,,,,13,,,,,,,,5.35,,,,,,,,,,,,,5.35,5.35,,,,,,,,,,,,,,,,,,,,,,,243,0.091,0.008,0.045,0.115,0.066,0.045,0.091,0.099,0.008,0.103,0.16,0.169,0.025,0.016,0.107,0.008,0.053,0.374,0.037,0.078,0.012,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newfoundland,Newfoundland,NEWF,NEWF,79,75,110,,,,,58.967,68.039,59,68,45.359,54.431,45.5,54.5,56.699,63.503,49.895,56.75,63.5,50,,,,,64,54.2,43.3,52.16,51.24716553,56.725,53.415,55.07,9,10,8,10,9.5,9,,8,,,,9.25,606,,,,,,4.33,6.5,,,,,6,,,,,,,,5.61,5.61,,,,,,600,,,,,600,0.6,600,0.6,3.366,16.7,,16.7,46.1,,46.1,9349.8333,286,0.238,0.017,0.01,0.115,0.063,0.024,0.161,0.087,0,0.059,0.07,0.154,0.175,0.045,0.063,0.031,0.035,0.199,0.007,0.08,0.01,0.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Terrier,Norfolk Terrier,NORF,NORF,,,,4.99,5.443,5,5.5,,,,,,,,,5.216,,,5.25,,,,,,,,6.691,,,,5.233,6.691,5.962,12,16,12,15,14,13.5,10,,,,,11.875,,3.5,,,,,,2.5,,,,,,,,,,,,3.5,2.5,3,,,141.748,,,,,,,141.748,,,141.748,0.142,0.4252,,,,,,,3580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwich Terrier,Norwich Terrier,NOWT,NOWT,,,,,,5,5.5,5.443,,,,,,,,5.443,5.443,,5.25,,,,,,,,,,,,5.314,,5.314,12,15,12,15,13.5,13.5,,,,,,13.5,,3.5,,,,,,2.6,,,,,,,,,,,,3.5,2.6,3.05,,,141.748,,,,,,,141.748,,,141.748,0.142,0.4323,,,,,,,3740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia Duck Tolling Retriever,Nova Scotia Duck Tolling Retriever,NSDT,NSDT,,,,15.876,22.68,16,20,,,,,,,,,19.278,,,18,,,20,20,,,,,,,17.41496599,18.639,20,19.319,12,14,12,14,13,13,,,,,,13,,,,,,,,6.6,,,,,,,,,,,,,6.6,6.6,,,,470,,,,470,,,470,0.47,470,0.47,3.102,,,,,,,4001.6298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old English Sheepdog,Old English Sheepdog,OES,OES,90,91,92,27.216,45.359,,,,,29.5,,,,27,,36.287,,,28.25,29.5,27,36.28,36.28,,,29,,,29.48,,32.269,31.587,31.928,10,12,10,12,11,11,11.8,,,,,11.4,,,,,7.3,,,4.3,,,,,,,,,,,,,5.8,5.8,,,368.544,330,,,,330,,368.544,330,0.33,349.272,0.349,2.0258,,,,,,,10289.4346,428,0.1,0.021,0.056,0.138,0.091,0.042,0.124,0.082,0.009,0.07,0.075,0.192,0.049,0.021,0.082,0.04,0.063,0.36,0.012,0.07,0.005,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterhound,Otterhound,OTTR,OTTR,,,,,,,,,,45.5,52,,,34,38.5,,,,42.5,48.75,36.25,41,41,,,,,,,,42.5,41,41.75,10,13,12,13,11.5,12.5,,,,,,12,,,,,,,,,,,,,,,,,,5.5,4,,,4.75,,,,631,,,,631,,,631,0.631,631,0.631,2.9973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papillon,Phalene,PAPI,PAPI,,,,2.268,4.536,1.5,4.5,,,,,,,,,3.402,,,3,,,4,4.5,3.5,3,,,2.2,,,3.201,3.3,3.25,14,16,13,15,15,14,,,,,,14.5,,,,,,,,3.3,,,,,,,,,,,,,3.3,3.3,,,127.573,135,,,,150,120,127.573,135,0.135,131.286,0.131,0.4332,15,,15,41.7,,41.7,2491.2361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parson Russell Terrier,Parson Russell Terrier (Jack Russell Terrier),PARS,PARS,,,,5.897,7.711,4,7.5,,,,,,,,,6.804,,,5.75,,,7,7,,,,,,,,6.277,7,6.638,13,15,13,15,14,14,,,,,,14,,5,,,,,,4.5,,,,,,,,,,,,5,4.5,4.75,,,,190,,,,190,,,190,0.19,190,0.19,0.9025,,,,,,,3480.9895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basset Griffon Vendeen Petit,Basset Griffon Vendeen Petit,PBGV,PBGV,,,,11.34,18.144,,,,,,,,,14,18,14.742,,,16,,16,,,,,,,,,13.78684807,15.371,,15.371,14,16,12,14,15,13,,,,,,14,,,,,,,,5.1,,,,,,,,,,,,,5.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welsh Corgi Pembroke,Welsh Corgi Pembroke,PEMB,PEMB,99,105,118,,,,,,,13.5,,,,12.5,,,,,13,13.5,12.5,12,12,,,,,,11.34,13.33333333,13,11.67,12.335,12,13,12,15,12.5,13.5,11.3,,,,,12.15,,6.5,,,,,,,,,,,,,,,,,,6.5,,6.5,,,354.369,340,,,,340,,354.369,340,0.34,347.184,0.347,2.2567,,,,,,,,115,0.087,0.017,0.035,0.087,0.113,0.07,0.07,0.157,0.026,0.113,0.104,0.122,0.078,0.017,0.052,0.026,0.026,0.304,0.026,0.061,0.009,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharaoh Hound,Pharaoh Hound,PHAR,PHAR,,,,20.412,24.948,20,25,,,,,,,,,22.68,,,22.5,,,,,,,,,,,,22.59,,22.59,12,14,12,14,13,13,,,,,,13,,,,,,,,,,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomeranian,German Spitz (Pomeranian),POM,POM,112,103,82,1.361,3.175,1.5,3,,,,,,,,,2.268,,,2.25,,,,,,,2,2.041,,2.27,4.610733182,2.259,2.104,2.181,12,16,15,,14,15,,,,,,14.333,482,3,,,,,,2.4,,,,,,4,,,,,,3,3.2,3.133,,,113.398,,,,,,,113.398,,,113.398,0.113,0.3553,,,,,,,1900,581,0.141,0.01,0.022,0.15,0.038,0.045,0.09,0.124,0.007,0.136,0.074,0.164,0.069,0.033,0.086,0.031,0.067,0.079,0.01,0.131,0.005,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portuguese Water Dog,Cao de Agua Portugues,PTWD,PTWD,,,,,,,,19.051,27.216,18,27,15.876,22.68,16,22.5,21.205,23.133,19.278,20.875,22.5,19.25,22,22,,,,,,,,21.04,22,21.52,11,13,12,14,12,13,,,,,,12.5,,,,,,,,7.4,,,,,,,,,,,,,7.4,7.4,,,,284,,,,284,,,284,0.284,284,0.284,2.1016,,,,,,,7366.6993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pug,Pug,PUG,PUG,103,83,88,6.35,8.165,6.5,8,,,,,,,,,7.257,,,7.25,,,7.26,7.26,,,7,,,7.26,10.70294785,7.254,7.173,7.214,13,15,13,15,14,14,,,,,,14,,,,,,,4,4.2,,,,,3.5,,,,,,,,3.9,3.9,,,184.272,227,,,,227,,184.272,227,0.227,205.636,0.206,0.802,,,,,,,3429.283,321,0.115,0.022,0.025,0.084,0.053,0.037,0.062,0.274,0.009,0.1,0.05,0.168,0.084,0.019,0.109,0.028,0.037,0.125,0.016,0.062,0.003,0.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puli medium,Puli medium,PULI,PULI,,,,11.34,15.876,13.5,18,,,,,,,,,13.608,,,15.75,,,,,,,,,,,,14.679,,14.679,10,15,11,14,12.5,12.5,,,,,,12.5,,,,,,,,4,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumi,Pumi,PUMI,PUMI,,,,,,,,12.247,13.154,,,9.979,10.886,,,11.567,12.701,10.433,,,,,,,,,,,,,11.567,,11.567,12,13,,,12.5,,,,,,,12.5,,,,,,,,5.6,,,,,7,,,,,,,,6.3,6.3,,,,,,232,,,,,232,0.232,232,0.232,1.4616,,,,,,,4885.6017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodesian Ridgeback,Rhodesian Ridgeback,RHOD,RHOD,,,,,,,,,,38.5,,,,32,,,,,35.25,38.5,32,36.3,36.3,,,34,32.89,,,,35.25,34.397,34.823,,,10,12,,11,9.1,,,,,10.05,,,,,,,10,8.9,,,,,12,,7.9,,,,,,9.7,9.7,,,,440,,390,,440,,,415,0.415,415,0.415,4.0255,,,,,,,,123,0.073,0.008,0.041,0.13,0.081,0.008,0.13,0.179,0.008,0.081,0.089,0.171,0.041,0.024,0.081,0.024,0.016,0.374,0.016,0.081,0.016,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rottweiler,Rottweiler,ROTT,ROTT,78,123,108,,,,,43.091,61.235,43,61.5,36.287,45.359,36.5,45.5,46.493,52.163,40.823,46.625,52.25,41,,,,,45,40.03,,38.56,50.79365079,46.559,41.197,43.878,9,10,12,,9.5,12,9.8,9,,8,,9.378,371,,,,,,,,,,,,6.5,,,,,,,,6.5,6.5,,,,,,360,,,,,360,0.36,360,0.36,2.34,,,,,,,12814.7722,1687,0.091,0.012,0.018,0.152,0.097,0.024,0.168,0.094,0.006,0.066,0.05,0.222,0.046,0.018,0.148,0.027,0.036,0.296,0.018,0.092,0.01,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
